Ort;Datum;Zeit;Temperatur;Feuchtigkeit_Prozent;Wind_kmh;Bedingung;Wolken_Prozent;Regen_Wahrscheinlichkeit;Regen_Menge_mm;Abfrage_Zeitpunkt
Lohmar;17.02.2026;19:00;3,4;0;20,4;Rain;87;31%;0,3;17.02.2026 18:40:34
Lohmar;17.02.2026;20:00;3,2;0;20,4;Rain;87;30%;0,1;17.02.2026 18:40:34
Lohmar;17.02.2026;21:00;3,0;0;20,4;Rain;88;31%;0,1;17.02.2026 18:40:34
Lohmar;17.02.2026;22:00;2,8;0;22,2;Rain;89;29%;0,1;17.02.2026 19:38:42
Lohmar;17.02.2026;23:00;2,6;0;20,4;Rain;91;25%;0,0;17.02.2026 22:22:42
Lohmar;18.02.2026;00:00;2,6;0;20,4;Rain;94;22%;0,0;17.02.2026 22:22:42
Lohmar;18.02.2026;01:00;2,4;0;18,5;Sleet;98;17%;0,0;17.02.2026 22:22:42
Lohmar;18.02.2026;02:00;2,3;0;16,7;Snow;89;21%;0,2;18.02.2026 01:59:02
Lohmar;18.02.2026;03:00;2,1;0;16,7;Sleet;89;17%;0,1;18.02.2026 01:59:02
Lohmar;18.02.2026;04:00;1,9;0;14,8;Sleet;99;13%;0,1;18.02.2026 01:59:02
Lohmar;18.02.2026;06:00;1,3;0;9,3;Dry;89;11%;0,0;18.02.2026 05:46:18
Lohmar;18.02.2026;07:00;1,1;0;7,4;Dry;100;4%;0,0;18.02.2026 05:46:18
Lohmar;18.02.2026;08:00;1,3;0;5,5;Dry;100;4%;0,0;18.02.2026 05:46:18
