Ort;Datum;Zeit;Temperatur;Feuchtigkeit_Prozent;Wind_kmh;Bedingung;Wolken_Prozent;Regen_Wahrscheinlichkeit;Regen_Menge_mm;Abfrage_Zeitpunkt
Lohmar;17.02.2026;19:00;3,4;0;20,4;Rain;87;31%;0,3;17.02.2026 18:40:34
Lohmar;17.02.2026;20:00;3,2;0;20,4;Rain;87;30%;0,1;17.02.2026 18:40:34
Lohmar;17.02.2026;21:00;3,0;0;20,4;Rain;88;31%;0,1;17.02.2026 18:40:34
Lohmar;17.02.2026;22:00;2,8;0;22,2;Rain;89;29%;0,1;17.02.2026 19:38:42
Lohmar;17.02.2026;23:00;2,6;0;20,4;Rain;91;25%;0,0;17.02.2026 22:22:42
Lohmar;18.02.2026;00:00;2,6;0;20,4;Rain;94;22%;0,0;17.02.2026 22:22:42
Lohmar;18.02.2026;01:00;2,4;0;18,5;Sleet;98;17%;0,0;17.02.2026 22:22:42
Lohmar;18.02.2026;02:00;2,3;0;16,7;Snow;89;21%;0,2;18.02.2026 01:59:02
Lohmar;18.02.2026;03:00;2,1;0;16,7;Sleet;89;17%;0,1;18.02.2026 01:59:02
Lohmar;18.02.2026;04:00;1,9;0;14,8;Sleet;99;13%;0,1;18.02.2026 01:59:02
Lohmar;18.02.2026;06:00;1,3;0;9,3;Dry;89;11%;0,0;18.02.2026 05:46:18
Lohmar;18.02.2026;07:00;1,1;0;7,4;Dry;100;4%;0,0;18.02.2026 05:46:18
Lohmar;18.02.2026;08:00;1,3;0;5,5;Dry;100;4%;0,0;18.02.2026 05:46:18
Lohmar;18.02.2026;09:00;1,3;0;3,7;Dry;89;2%;0,0;18.02.2026 07:44:57
Lohmar;18.02.2026;10:00;1,8;0;5,5;Dry;100;3%;0,0;18.02.2026 07:44:57
Lohmar;18.02.2026;11:00;2,7;0;7,4;Dry;98;2%;0,0;18.02.2026 10:33:25
Lohmar;18.02.2026;12:00;3,1;0;7,4;Dry;95;0%;0,0;18.02.2026 10:33:25
Lohmar;18.02.2026;13:00;3,5;0;11,1;Dry;90;1%;0,0;18.02.2026 10:33:25
Lohmar;18.02.2026;14:00;3,9;0;13,0;Dry;98;1%;0,0;18.02.2026 13:30:13
Lohmar;18.02.2026;15:00;3,9;0;13,0;Dry;98;0%;0,0;18.02.2026 13:30:13
Lohmar;18.02.2026;16:00;3,6;0;14,8;Dry;98;1%;0,0;18.02.2026 13:30:13
Lohmar;18.02.2026;17:00;3,7;0;14,8;Dry;98;1%;0,0;18.02.2026 16:38:19
Lohmar;18.02.2026;18:00;3,0;0;14,8;Dry;98;3%;0,0;18.02.2026 16:38:19
Lohmar;18.02.2026;19:00;2,4;0;16,7;Dry;98;4%;0,0;18.02.2026 16:38:19
Lohmar;18.02.2026;20:00;2,5;0;16,7;Dry;92;3%;0,0;18.02.2026 19:34:21
Lohmar;18.02.2026;21:00;2,3;0;16,7;Dry;96;5%;0,0;18.02.2026 19:34:21
Lohmar;18.02.2026;22:00;2,2;0;18,5;Dry;99;11%;0,0;18.02.2026 19:34:21
Lohmar;18.02.2026;23:00;2,1;0;16,7;Dry;99;20%;0,0;18.02.2026 22:24:29
Lohmar;19.02.2026;00:00;2,0;0;18,5;Sleet;99;44%;0,3;18.02.2026 22:24:29
Lohmar;19.02.2026;01:00;1,6;0;18,5;Rain;100;60%;0,3;18.02.2026 22:24:29
Lohmar;19.02.2026;02:00;2,0;0;20,4;Rain;100;58%;0,2;19.02.2026 01:58:26
Lohmar;19.02.2026;03:00;1,8;0;20,4;Sleet;100;67%;0,2;19.02.2026 01:58:26
Lohmar;19.02.2026;04:00;1,7;0;18,5;Snow;100;70%;0,2;19.02.2026 01:58:26
Lohmar;19.02.2026;06:00;1,6;0;18,5;Rain;100;77%;0,3;19.02.2026 05:45:12
Lohmar;19.02.2026;07:00;1,5;0;16,7;Sleet;100;73%;0,3;19.02.2026 05:45:12
Lohmar;19.02.2026;08:00;1,4;0;18,5;Snow;100;74%;0,6;19.02.2026 05:45:12
Lohmar;19.02.2026;09:00;1,4;0;16,7;Sleet;100;74%;0,5;19.02.2026 07:43:35
Lohmar;19.02.2026;10:00;1,8;0;18,5;Sleet;100;69%;0,4;19.02.2026 07:43:35
Lohmar;19.02.2026;11:00;2,0;0;18,5;Sleet;100;59%;0,3;19.02.2026 10:32:20
Lohmar;19.02.2026;12:00;2,4;0;18,5;Rain;100;47%;0,1;19.02.2026 10:32:20
Lohmar;19.02.2026;13:00;2,7;0;18,5;Rain;100;32%;0,1;19.02.2026 10:32:20
Lohmar;19.02.2026;14:00;3,0;0;16,7;Rain;100;26%;0,0;19.02.2026 13:31:54
Lohmar;19.02.2026;15:00;3,1;0;16,7;Rain;100;19%;0,0;19.02.2026 13:31:54
Lohmar;19.02.2026;16:00;3,0;0;16,7;Rain;100;22%;0,0;19.02.2026 13:31:54
Lohmar;19.02.2026;17:00;2,8;0;14,8;Rain;100;22%;0,1;19.02.2026 16:35:01
Lohmar;19.02.2026;18:00;2,8;0;13,0;Rain;100;21%;0,0;19.02.2026 16:35:01
Lohmar;19.02.2026;19:00;2,6;0;13,0;Rain;100;25%;0,1;19.02.2026 16:35:01
Lohmar;19.02.2026;20:00;2,1;0;11,1;Rain;99;30%;0,1;19.02.2026 19:35:43
Lohmar;19.02.2026;21:00;2,0;0;9,3;Rain;97;26%;0,1;19.02.2026 19:35:43
Lohmar;19.02.2026;22:00;1,5;0;9,3;Rain;92;17%;0,0;19.02.2026 19:35:43
Lohmar;19.02.2026;23:00;1,2;0;9,3;Dry;87;7%;0,0;19.02.2026 19:35:43
Lohmar;20.02.2026;00:00;0,8;0;7,4;Dry;79;3%;0,0;19.02.2026 19:35:43
Lohmar;20.02.2026;01:00;0,3;0;7,4;Dry;72;1%;0,0;19.02.2026 19:35:43
Lohmar;20.02.2026;02:00;0,1;0;9,3;Dry;68;1%;0,0;19.02.2026 19:35:43
Lohmar;20.02.2026;03:00;-0,2;0;7,4;Dry;63;2%;0,0;19.02.2026 22:19:17
Lohmar;20.02.2026;04:00;-0,2;0;9,3;Dry;62;2%;0,0;19.02.2026 22:19:17
Lohmar;20.02.2026;05:00;-0,4;0;7,4;Dry;63;2%;0,0;19.02.2026 22:19:17
Lohmar;20.02.2026;06:00;-0,6;0;9,3;Dry;64;2%;0,0;20.02.2026 01:54:51
Lohmar;20.02.2026;07:00;-0,4;0;9,3;Dry;73;2%;0,0;20.02.2026 01:54:51
Lohmar;20.02.2026;08:00;0,0;0;9,3;Dry;80;3%;0,0;20.02.2026 01:54:51
Lohmar;20.02.2026;09:00;0,7;71;15,8;Rain;100;None%;0,0;20.02.2026 10:27:22
Lohmar;20.02.2026;10:00;1,6;0;9,3;Dry;86;8%;0,0;20.02.2026 10:27:22
Lohmar;20.02.2026;11:00;2,7;0;9,3;Dry;86;14%;0,0;20.02.2026 11:31:53
Lohmar;20.02.2026;12:00;3,4;0;9,3;Dry;88;18%;0,0;20.02.2026 11:31:53
Lohmar;20.02.2026;13:00;4,0;0;9,3;Rain;100;21%;0,1;20.02.2026 11:31:53
Lohmar;20.02.2026;14:00;4,5;0;9,3;Rain;100;19%;0,0;20.02.2026 12:29:21
Lohmar;20.02.2026;15:00;5,1;0;9,3;Rain;92;18%;0,0;20.02.2026 14:06:04
Lohmar;20.02.2026;16:00;5,2;0;9,3;Rain;100;16%;0,0;20.02.2026 14:06:04
Lohmar;20.02.2026;17:00;5,2;0;9,3;Rain;100;15%;0,0;20.02.2026 15:41:35
